,公告ID,发布时间,标题,内容
10,10094,2023-11-20 16:20:00,藏品《约丽丹和约雷德尔》寄售限价调整,藏品《约丽丹和约雷德尔》最高寄售限价将于2023-11-20 16:20调整为¥1200。  敬请各位用户知悉！ 谢谢！
11,10093,2023-11-20 15:50:00,《皇帝的新装》好运降临抽签活动！,每持有1份《皇帝的新装》将获得一次抽签资格，中签后销毁，未中签不销毁!  消耗材料：《皇帝的新装》*1  中签将获得《老爹做的事总是对的》*8（661份）  未中签将直接返还《皇帝的新装》*1  扫描时间：2023年11月20日16:20—16:30  抽签时间：2023年11月20日17:00—18:00  《老爹做的事总是对的》开放寄售后，届时限额为888元。  敬请各位用户知悉！谢谢！
12,10092,2023-11-20 15:28:00,藏品《约丽丹和约雷德尔》寄售限价调整,藏品《约丽丹和约雷德尔》最高寄售限价将于2023-11-20 15:28调整为¥1000。  敬请各位用户知悉！ 谢谢！
13,10091,2023-11-20 15:00:00,藏品《堆武士》寄售限价调整,藏品《堆武士》最高寄售限价将于2023-11-20 15:00调整为¥3500。  敬请各位用户知悉！ 谢谢！
14,10090,2023-11-20 14:40:00,藏品《约丽丹和约雷德尔》开放寄售,童话区藏品《约丽丹和约雷德尔》将于2023-11-20 14:40开放寄售。  《约丽丹和约雷德尔》铸造数量：2010 《约丽丹和约雷德尔》流通数量：2002 《约丽丹和约雷德尔》销毁数量：8  以上藏品暂时为限价藏品，最高寄售限价为¥800。  本公告编辑过，“名人堂”改为“童话区”  敬请各位用户知悉！ 谢谢！
15,10089,2023-11-20 14:15:00,藏品《坚定的锡兵》寄售限价调整,藏品《坚定的锡兵》最高寄售限价将于2023-11-20 14:15调整为¥488。  敬请各位用户知悉！ 谢谢！
16,10088,2023-11-20 13:53:00,藏品《皇帝的新装》寄售限价调整,藏品《皇帝的新装》最高寄售限价将于2023-11-20 13:53调整为¥5000。  敬请各位用户知悉！ 谢谢！
17,10085,2023-11-20 12:50:00,藏品《摇篮曲》开放寄售,名人堂藏品《摇篮曲》将于2023-11-20 12:50开放寄售。  《摇篮曲》铸造数量：2747 《摇篮曲》流通数量：2738 《摇篮曲》销毁数量：9  以上藏品暂时为限价藏品，最高寄售限价为¥1388。  敬请各位用户知悉！ 谢谢！
18,10086,2023-11-20 12:33:00,藏品《居里夫人》合成公告,藏品《居里夫人》即将开始合成！  合成材料：《刘姥姥逛大观园》*5合成《居里夫人》*1  合成时间：2023年11月20日13:30-15:30  未参与合成的《刘姥姥逛大观园》将变成仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
19,10084,2023-11-20 12:23:00,藏品《山竹屋》开放寄售,童话区藏品《山竹屋》将于2023-11-20 12:23开放寄售。  《山竹屋》铸造数量：1721 《山竹屋》流通数量：1701 《山竹屋》销毁数量：20  以上藏品暂时为限价藏品，最高寄售限价为¥800。  敬请各位用户知悉！ 谢谢！
20,10083,2023-11-20 11:42:00,藏品《孟子》开放寄售,名人堂藏品《孟子》将于2023-11-20 11:42开放寄售。  《孟子》铸造数量：1494 《孟子》流通数量：1494 《孟子》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥2500。  敬请各位用户知悉！ 谢谢！
21,10082,2023-11-20 11:35:00,《孔子》专属活动来袭！,活动（一） 每持有3份《孔子》可优先合成5份《庄子》（可叠加） 材料：《孔子》*2 扫描时间：2023年11月20日11:30分（已快照） 合成时间：2023年11月20日12:00—13:00 满足条件资格共792个，理论优先合成最大《庄子》数量为3960份。 《庄子》共铸造7500份。  活动（二） 《孔子》*2合成《庄子》*5 合成时间：2023年11月20日13:00—13:30 限量708份。  敬请各位用户知悉！谢谢！
22,10080,2023-11-20 11:20:00,藏品《孔子》寄售限价调整,藏品《孔子》最高寄售限价将于2023-11-20 11:20调整为¥1000。  敬请各位用户知悉！ 谢谢！
23,10079,2023-11-20 11:01:00,藏品《蜜桃屋》合成公告,藏品《蜜桃屋》即将开始合成！  合成材料：《杨桃屋》*8合成《蜜桃屋》*1  合成时间：2023年11月20日12:00-14:00  未参与合成的《杨桃屋》将变成仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
24,10081,2023-11-20 10:26:25,藏品《超时补救卡》即将开始合成！,"合成材料：《魔法音符》*6  合成时间：2023年11月20日11:00-13:00  本次合成为限量100份，先到先得（《超时补救卡》不开放寄售）。  合成活动，《超时补救卡》将根据对应藏品近10笔成交均价/1000，以及合成所需数量来确定使用数量。  例：藏品a*3合成b，藏品a近10笔成交均价为2000元，则每补合成1份b计算方法为2000*3/1000，需要使用6张《超时补救卡》（若除不尽则向上取整）  专属兑换活动，《超时补救卡》将根据活动结束前10笔交易/1000，来计确定使用数量。  例：每持有2份藏品a，可专属兑换10份b，藏品a近期10笔成交价为2000，则每补兑换10份b计算发放为2000*2/1000，需要4张《超时补救卡》（若除不尽则向上取整）  若您错过了藏品的合成、兑换，您需要在合成结束后的24h内联系app内客服登记处理（限量合成活动无法使用《超时补救卡》）""  关于《超时补救卡》使用说明补充：  1、若您使用《超时补救卡》您持有的材料需在活动结束前买入，若在活动结束后买入则无法使用《超时补救卡》  2、《超时补救卡》使用张数将根据活动结束前10笔交易均价为准。  3、《超时补救卡》无法在概率合成中使用补救功能。  敬请各位用户知悉！ 谢谢！"
25,10078,2023-11-20 10:20:00,藏品《堆武士》开放寄售,童话区藏品《堆武士》将于2023-11-20 10:20开放寄售。  《堆武士》铸造数量：1247 《堆武士》流通数量：1245 《堆武士》销毁数量：2  以上藏品暂时为限价藏品，最高寄售限价为¥3000。  敬请各位用户知悉！ 谢谢！
26,10077,2023-11-20 09:56:00,藏品《坚定的锡兵》开放寄售,童话区藏品《坚定的锡兵》将于2023-11-20 09:56开放寄售。  《坚定的锡兵》铸造数量：6666 《坚定的锡兵》流通数量：6666 《坚定的锡兵》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥388。  敬请各位用户知悉！ 谢谢！
27,10075,2023-11-19 21:20:42,《猕猴桃屋》上新预告,每持有1份《无花果屋》专属兑换5份《猕猴桃屋》（权益可叠加）。  兑换材料：《杨桃屋》*5 (每消耗5份《杨桃屋》即可专属兑换5份《猕猴桃屋》）  扫描时间：2023年11月19日22:30-23:00 （扫描会持续一段时间，为防止数据异常影响权益，请避免在扫描期间进行交易）  兑换时间：2023年11月20日10:00-11:00  敬请各位用户知悉！ 谢谢！
28,10074,2023-11-19 21:10:19,藏品《草莓屋》合成公告,藏品《草莓屋》即将开始合成！  合成材料：《橘子屋》*2+《杨桃屋》*3  合成时间：2023年11月19日22:00-24:00  未参与合成的《橘子屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
29,10073,2023-11-19 21:00:00,藏品《无花果屋》寄售限价调整,藏品《无花果屋》最高寄售限价将于2023-11-19 21:00调整为¥8000。  敬请各位用户知悉！ 谢谢！
30,10072,2023-11-19 20:55:21,《无花果屋》活动预告,《无花果屋》将至少参与2次活动。  敬请各位用户知悉！ 谢谢！
31,10071,2023-11-19 20:04:00,藏品《落体定律》寄售限价调整,藏品《落体定律》最高寄售限价将于2023-11-19 20:04调整为¥2000。  本公告编辑过，“斜塔实验”修改为“落体定律”。  敬请各位用户知悉！ 谢谢！
32,10070,2023-11-19 19:10:21,全新系列藏品《堆武士》合成公告,藏品《堆武士》即将开始合成！  合成材料：《芒果屋》*2  合成时间：2023年11月19日20:00-21:00  未参与合成的《芒果屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
33,10069,2023-11-19 18:40:04,《坚定的锡兵》合成公告,持有20份《魔法音符》的藏家，在公告发送后至扫描时间19:30之前，再次净买入10份《魔法音符》即可拥有1次《坚定的锡兵》限量合成资格。（限量合成资格可叠加，若您持有40份《魔法音符》，净买入10份《魔法音符》即可获得2次限量合成资格）  举例： 若您持有10份《魔法音符》则需净买入20份《魔法音符》 若您持有15份《魔法音符》则需净买入15份《魔法音符》 以此类推（净买入=买入数量-卖出数量）  活动扫描时间：2023年11月19日19:30-20:00 （扫描会持续一段时间，为防止数据异常影响权益，请避免在扫描期间进行交易）  合成材料：《魔法音符》*5  本次合成为限量合成，限量6666份，先到先得。  合成时间：2023年11月19日20:30-21:00  敬请各位用户知悉！ 谢谢！
34,10068,2023-11-19 17:49:00,《无花果屋》展示位变更,《无花果屋》将进入推荐区。  敬请各位用户知悉！谢谢！
35,10067,2023-11-19 17:39:00,《芒果屋》展示位变更,《芒果屋》将进入推荐区。  敬请各位用户知悉！谢谢！
36,10066,2023-11-19 17:29:00,藏品《芒果屋》寄售限价调整,藏品《芒果屋》最高寄售限价将于2023-11-19 17:29调整为¥1000。  敬请各位用户知悉！ 谢谢！
37,10065,2023-11-19 16:10:00,《莫扎特》将置换为《孟子》,《莫扎特》将按照 1:1 下架置换为《孟子》。  《孟子》作为儒家最主要的代表人物之一，后续准备了多种活动玩法。  下架置换时间为：2023-11-19 16:20  为避免影响您的权益，置换时间开始后请勿交易。置换藏品预计将在置换开始后6小时内到达您的藏品室，请注意查收！  敬请各位用户知悉！谢谢！
38,10063,2023-11-19 15:50:00,藏品《孔子》寄售限价调整,藏品《孔子》最高寄售限价将于2023-11-19 15:50调整为¥800。  敬请各位用户知悉！ 谢谢！
39,10062,2023-11-19 15:05:00,《莫扎特》展示位变更,《莫扎特》进入推荐区。  敬请各位用户知悉！谢谢！
40,10061,2023-11-19 14:56:00,藏品《莫扎特》寄售限价调整,藏品《莫扎特》最高寄售限价将于2023-11-19 14:56调整为¥2000。  敬请各位用户知悉！ 谢谢！
41,10060,2023-11-19 14:46:00,藏品《英雄》开放寄售,名人堂藏品《英雄》将于2023-11-19 14:46开放寄售。  《英雄》铸造数量：30000 《英雄》流通数量：9877 《英雄》销毁数量：20123  以上藏品暂时为限价藏品，最高寄售限价为¥500。  敬请各位用户知悉！ 谢谢！
42,10059,2023-11-19 14:38:00,藏品《菠萝屋》开放寄售,童话区藏品《菠萝屋》将于2023-11-19 14:38开放寄售。  《菠萝屋》铸造数量：5000 《菠萝屋》流通数量：5000 《菠萝屋》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥1500。  敬请各位用户知悉！ 谢谢！
43,10058,2023-11-19 14:04:41,《山竹屋》上新预告,每持有2份《芒果屋》可专属兑换1份《山竹屋》  兑换材料：《芒果屋》*1  扫描时间：2023年11月19日15:00-15:30 （扫描会持续一段时间，为防止数据异常影响权益，请避免在扫描期间进行交易）  兑换时间：2023年11月19日16:00-17:00  敬请各位用户知悉！ 谢谢！
44,10057,2023-11-19 10:48:00,藏品《诺贝尔》开放寄售,名人堂藏品《诺贝尔》将于2023-11-19 10:48开放寄售。  《诺贝尔》铸造数量：1992 《诺贝尔》流通数量：1989 《诺贝尔》销毁数量：3  以上藏品暂时为限价藏品，最高寄售限价为¥3000。  敬请各位用户知悉！ 谢谢！
45,10056,2023-11-19 10:36:23,藏品《杏子屋》合成公告,藏品《杏子屋》即将开始合成！  合成材料：《圣女果屋》*5  合成时间：2023年11月19日11:30-13:30  未参与合成的《圣女果屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
46,10055,2023-11-19 10:12:00,藏品《起飞了》开放寄售,一马当先藏品《起飞了》将于2023-11-19 10:12开放寄售。  《起飞了》铸造数量：2000 《起飞了》流通数量：2000 《起飞了》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥5000。  敬请各位用户知悉！ 谢谢！
47,10054,2023-11-19 09:56:00,藏品《无花果屋》开放寄售,童话区藏品《无花果屋》将于2023-11-19 09:56开放寄售。  《无花果屋》铸造数量：1000 《无花果屋》流通数量：1000 《无花果屋》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥5000。  敬请各位用户知悉！ 谢谢！
48,10053,2023-11-18 21:05:00,藏品《杨桃屋》开放寄售,童话区藏品《杨桃屋》将于2023-11-18 21:05开放寄售。  《杨桃屋》铸造数量：25840 《杨桃屋》流通数量：25840 《杨桃屋》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥249。  敬请各位用户知悉！ 谢谢！
49,10052,2023-11-18 20:30:19,藏品《椰子屋》合成公告,藏品《椰子屋》即将开始合成！  合成材料：《葡萄屋》*1+《圣女果屋》*2合《椰子屋》*10  合成时间：2023年11月18日21:30-23:30  未参与合成的《葡萄屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
50,10051,2023-11-18 20:13:00,藏品《葡萄屋》寄售限价调整,藏品《葡萄屋》最高寄售限价将于2023-11-18 20:13调整为¥2500。  敬请各位用户知悉！ 谢谢！
51,10050,2023-11-18 19:53:00,藏品《孔子》开放寄售,名人堂藏品《孔子》将于2023-11-18 19:53开放寄售。  《孔子》铸造数量：6261 《孔子》流通数量：5192 《孔子》销毁数量：1069  以上藏品暂时为限价藏品，最高寄售限价为¥700。  敬请各位用户知悉！ 谢谢！
52,10049,2023-11-18 17:47:11,藏品《笨蛋杰克》合成公告,藏品《笨蛋杰克》即将开始合成！  合成材料：《卖火柴的小女孩》*4  合成时间：2023年11月18日18:30-20:30  未参与合成的《卖火柴的小女孩》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
53,10048,2023-11-18 16:50:00,藏品《落体定律》开放寄售,名人堂藏品《落体定律》将于2023-11-18 16:50开放寄售。  《落体定律》铸造数量：4700 《落体定律》流通数量：4700 《落体定律》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥1500。  敬请各位用户知悉！ 谢谢！
54,10047,2023-11-18 16:36:00,藏品《汗流浃背》寄售限价调整,藏品《汗流浃背》最高寄售限价将于2023-11-18 16:36调整为¥778。  敬请各位用户知悉！ 谢谢！
55,10046,2023-11-18 16:22:46,藏品《起飞了》合成公告,藏品《起飞了》即将开始合成！  合成材料：《准备起飞》*1+《钢琴》*1+《魔法音符》*5  合成时间：2023年11月18日17:30-19:30  每参与合成1份《起飞了》空投1份《树莓屋》。  未参与合成的《准备起飞》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
56,10045,2023-11-18 15:29:00,藏品《准备起飞》寄售限价调整,藏品《准备起飞》最高寄售限价将于2023-11-18 15:29调整为¥4000。  敬请各位用户知悉！ 谢谢！
57,10043,2023-11-18 15:08:00,《准备起飞》展示位变更,《准备起飞》进入推荐区。  敬请各位用户知悉！谢谢！
58,10042,2023-11-18 14:55:00,藏品《橘子屋》开放寄售,童话区藏品《橘子屋》将于2023-11-18 14:55开放寄售。  《橘子屋》铸造数量：2490 《橘子屋》流通数量：2485 《橘子屋》销毁数量：5  以上藏品暂时为限价藏品，最高寄售限价为¥2000。  敬请各位用户知悉！ 谢谢！
59,10041,2023-11-18 14:47:32,藏品《约丽丹和约雷德尔》合成公告,藏品《约丽丹和约雷德尔》即将开始合成！  合成材料：《丑小鸭》*3+《魔法音符》*5  合成时间：2023年11月18日16:00-18:00  未参与合成的《丑小鸭》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
60,10040,2023-11-18 14:10:38,《野天鹅》上新预告,每持有1份《皇帝的新装》专属兑换10份《野天鹅》（权益可叠加）。  兑换材料：《打火匣》*3 （每消耗3份《打火匣》即可专属兑换10份《野天鹅》）  扫描时间：2023年11月18日15:00-15:30 （扫描会持续一段时间，为防止数据异常影响权益，请避免在扫描期间进行交易）  兑换时间：2023年11月18日16:00-17:00  敬请各位用户知悉！ 谢谢！
61,10039,2023-11-18 13:05:17,《孔子》专属兑换时间更改,由于配置操作出现失误，现将《孔子》专属兑换入口关闭，资格已扫描，不会改变。  兑换时间更改为：2023年11月18日13:30-14:30  先前专属兑换的藏品《孔子》将会销毁，原材料会恢复回您的账户，给您带来的不便表示抱歉。  敬请各位用户知悉！谢谢！
62,10038,2023-11-18 11:34:30,《刘姥姥逛大观园》活动公告（二）,《孔子》限量合成即将开始！  合成材料：《刘姥姥逛大观园》*3  合成时间：2023年11月18日12:30-13:00  本次合成为限量合成，限量4000份，先到先得。剩余的《刘姥姥逛大观园》仍有活动。  敬请各位用户知悉！谢谢！
63,10037,2023-11-18 11:34:00,《刘姥姥逛大观园》活动公告（一）,今日11:20已对《刘姥姥逛大观园》进行扫描，且将于今日12:00再次进行扫描，2次扫描时间内《刘姥姥逛大观园》持有数量均大于10份可参与下方活动。  每持有10份《刘姥姥逛大观园》可专属兑换1份《孔子》。  兑换材料：《刘姥姥逛大观园》*2  《孔子》可兑换数量以11:20扫描结果为准。  兑换时间：2023年11月18日12:40-13:40  敬请各位用户知悉！谢谢！
64,10036,2023-11-18 10:53:29,藏品《瓶颈》合成公告,藏品《瓶颈》即将开始合成！  合成材料：《瓶颈合成资格卡》*1+《丑小鸭》*2  合成时间：2023年11月18日11:30-13:30  敬请各位用户知悉！ 谢谢！
65,10035,2023-11-18 10:10:00,藏品《电磁感应》开放寄售,名人堂藏品《电磁感应》将于2023-11-18 10:10开放寄售。  《电磁感应》铸造数量：11123 《电磁感应》流通数量：11122 《电磁感应》销毁数量：1  以上藏品暂时为限价藏品，最高寄售限价为¥400。  敬请各位用户知悉！ 谢谢！
66,10034,2023-11-17 21:23:00,《斜塔实验》将置换为《落体定律》,《斜塔实验》将按照 1:20 下架置换为《落体定律》。  下架置换时间为：2023-11-17 21:38  为避免影响您的权益，置换时间开始后请勿交易。置换藏品预计将在置换开始后6小时内到达您的藏品室，请注意查收！  敬请各位用户知悉！谢谢！
67,10033,2023-11-17 20:18:00,藏品《春天》寄售限价调整,藏品《春天》最高寄售限价将于2023-11-17 20:18调整为¥400。  敬请各位用户知悉！ 谢谢！
68,10031,2023-11-17 20:00:00,藏品《芒果屋》开放寄售,童话区藏品《芒果屋》将于2023-11-17 20:00开放寄售。  《芒果屋》铸造数量：4204 《芒果屋》流通数量：4195 《芒果屋》销毁数量：9  以上藏品暂时为限价藏品，最高寄售限价为¥1200。  敬请各位用户知悉！ 谢谢！
69,10030,2023-11-17 19:40:05,藏品《诺贝尔》合成公告,藏品《诺贝尔》即将开始合成！  合成材料：《自然定律》*1+《刘姥姥逛大观园》*2  合成时间：2023年11月17日20:30-22:30  每参与合成1份《诺贝尔》空投5份《神秘藏品》。  未参与合成的《自然定律》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
70,10029,2023-11-17 19:08:00,藏品《斜塔实验》寄售限价调整,藏品《斜塔实验》最高寄售限价将于2023-11-17 19:08调整为¥20000。  敬请各位用户知悉！ 谢谢！
71,10028,2023-11-17 18:57:00,藏品《自然定律》寄售限价调整,藏品《自然定律》最高寄售限价将于2023-11-17 18:57调整为¥2500。  敬请各位用户知悉！ 谢谢！
72,10027,2023-11-17 18:44:00,藏品《打火匣》开放寄售,童话区藏品《打火匣》将于2023-11-17 18:44开放寄售。  《打火匣》铸造数量：19500 《打火匣》流通数量：19500 《打火匣》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥300。  敬请各位用户知悉！ 谢谢！
73,10026,2023-11-17 18:38:00,藏品《莫扎特》开放寄售,名人堂藏品《莫扎特》将于2023-11-17 18:38开放寄售。  《莫扎特》铸造数量：1495 《莫扎特》流通数量：1494 《莫扎特》销毁数量：1  以上藏品暂时为限价藏品，最高寄售限价为¥3000。  敬请各位用户知悉！ 谢谢！
74,10024,2023-11-17 18:28:32,《丑小鸭》活动来袭！,每持有1份《丑小鸭》空投1份《丑小鸭抽签卡》。  持有《丑小鸭》抽签卡的藏家可参与本次抽签活动，中签用户可获得童话区藏品《瓶颈合成资格卡》。  《瓶颈合成资格卡》共2000份。  扫描时间：2023年11月17日19:30-20:00  抽签时间：2023年11月17日20:30-21:30  持有《瓶颈合成资格卡》的藏家可使用《丑小鸭》*2+《瓶颈合成资格卡》合成《瓶颈》  敬请各位用户知悉！谢谢！
75,10025,2023-11-17 17:58:00,藏品《丑小鸭》寄售限价调整,藏品《丑小鸭》最高寄售限价将于2023-11-17 17:58调整为¥500。  敬请各位用户知悉！ 谢谢！
76,10023,2023-11-17 17:45:00,《童话区藏品空投资格卡》将置换为《打火匣》,《童话区藏品空投资格卡》将按照 1:6 下架置换为《打火匣》。  下架置换时间为：2023-11-17 17:45  敬请各位用户知悉！谢谢！
77,10022,2023-11-17 16:42:00,《自然定律》展示位调整,《自然定律》进入推荐区。  敬请各位用户知悉！谢谢！
78,10021,2023-11-17 15:20:00,藏品《皇帝的新装》开放寄售,童话区藏品《皇帝的新装》将于2023-11-17 15:20开放寄售。  《皇帝的新装》铸造数量：1661 《皇帝的新装》流通数量：1661 《皇帝的新装》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥7000。  敬请各位用户知悉！ 谢谢！
79,10020,2023-11-17 15:15:00,《法拉第》活动来袭！,持有《法拉第》的藏家可自行选择下方活动参与。  活动（一）：《法拉第》*2合《电学之父-法拉第》*1  活动（二）：《法拉第》*1+《魔法音符》*5合《冰雪女皇》*10  活动时间：2023年11月17日16:00-17:00  未参与合成的《法拉第》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！谢谢！
80,10019,2023-11-17 14:44:00,《法拉第》展示位变更,《法拉第》进入推荐区。  敬请各位用户知悉！谢谢！
81,10018,2023-11-17 14:16:30,藏品《无花果屋》合成公告,藏品《无花果屋》即将开始合成！  合成材料：《西瓜屋》*2+《圣女果屋》*3  合成时间：2023年11月17日15:30-17:30  未参与合成的《西瓜屋》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
82,10017,2023-11-17 14:03:20,藏品《超时补救卡》合成公告,"藏品《超时补救卡》即将开始合成！  合成材料：《魔法音符》*6  合成时间：2023年11月17日14:30-16:30  本次合成为限量100份，先到先得（《超时补救卡》不开放寄售）。  合成活动，《超时补救卡》将根据对应藏品近10笔成交均价/1000，以及合成所需数量来确定使用数量。  例：藏品a*3合成b，藏品a近10笔成交均价为2000元，则每补合成1份b计算方法为2000*3/1000，需要使用6张《超时补救卡》（若除不尽则向上取整）  专属兑换活动，《超时补救卡》将根据活动结束前10笔交易/1000，来计确定使用数量。  例：每持有2份藏品a，可专属兑换10份b，藏品a近期10笔成交价为2000，则每补兑换10份b计算发放为2000*2/1000，需要4张《超时补救卡》（若除不尽则向上取整）  若您错过了藏品的合成、兑换，您需要在合成结束后的24h内联系app内客服登记处理（限量合成活动无法使用《超时补救卡》）""  关于《超时补救卡》使用说明补充：  1、若您使用《超时补救卡》您持有的材料需在活动结束前买入，若在活动结束后买入则无法使用《超时补救卡》  2、《超时补救卡》使用张数将根据活动结束前10笔交易均价为准。  3、《超时补救卡》无法在概率合成中使用补救功能。  敬请各位用户知悉！ 谢谢！"
83,10015,2023-11-17 11:55:00,藏品《雪梨屋》开放寄售,童话区藏品《雪梨屋》将于2023-11-17 11:55开放寄售。  《雪梨屋》铸造数量：3740 《雪梨屋》流通数量：3736 《雪梨屋》销毁数量：4  以上藏品暂时为限价藏品，最高寄售限价为¥2000。  敬请各位用户知悉！ 谢谢！
84,10016,2023-11-17 11:45:00,藏品《自然定律》寄售限价调整,藏品《自然定律》最高寄售限价将于2023-11-17 11:45调整为¥1800。  敬请各位用户知悉！ 谢谢！
85,10014,2023-11-17 11:33:27,藏品《梵高》合成公告,藏品《梵高》即将开始合成！  合成材料：《天鹅湖》*6+《魔法音符》*2  合成时间：2023年11月17日12:30-14:30  未参与合成的《天鹅湖》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
86,10013,2023-11-17 11:08:36,藏品《童话区藏品空投资格卡》合成公告,藏品《童话区藏品空投资格卡》即将开始合成！  合成材料：《拉普拉斯妖》*3+《魔法音符》*2  合成时间：2023年11月17日12:00-14:00  合成结束后《童话区藏品空投资格卡》将自动置换为若干份童话区藏品《打火匣》。  未参与合成的《拉普拉斯妖》将变为仅供收藏，等待后续置换。  敬请各位用户知悉！ 谢谢！
87,10012,2023-11-17 10:50:00,藏品《斜塔实验》寄售限价调整,藏品《斜塔实验》最高寄售限价将于2023-11-17 10:50调整为¥10000。  敬请各位用户知悉！ 谢谢！
88,10011,2023-11-17 10:31:00,藏品《柠檬屋》寄售限价调整,藏品《柠檬屋》最高寄售限价将于2023-11-17 10:31调整为¥15000。  敬请各位用户知悉！ 谢谢！
89,10010,2023-11-17 09:47:00,藏品《准备起飞》开放寄售,一马当先藏品《准备起飞》将于2023-11-17 09:47开放寄售。  《准备起飞》铸造数量：2000 《准备起飞》流通数量：2000 《准备起飞》销毁数量：0  以上藏品暂时为限价藏品，最高寄售限价为¥2500。  敬请各位用户知悉！ 谢谢！
